Pixel,Well,i,j
3344,11,1,1
3345,11,16,2
3346,11,15,2
3347,11,14,2
3348,11,13,2
3349,11,12,2
3350,11,11,2
3351,11,10,2
3352,11,9,2
3353,11,8,2
3354,11,7,2
3355,11,6,2
3356,11,5,2
3357,11,4,2
3358,11,3,2
3359,11,2,2
3360,11,1,2
3361,11,16,3
3362,11,15,3
3363,11,14,3
3364,11,13,3
3365,11,12,3
3366,11,11,3
3367,11,10,3
3368,11,9,3
3369,11,8,3
3370,11,7,3
3371,11,6,3
3372,11,5,3
3373,11,4,3
3374,11,3,3
3375,11,2,3
3376,11,1,3
3377,11,16,4
3378,11,15,4
3379,11,14,4
3380,11,13,4
3381,11,12,4
3382,11,11,4
3383,11,10,4
3384,11,9,4
3385,11,8,4
3386,11,7,4
3387,11,6,4
3388,11,5,4
3389,11,4,4
3390,11,3,4
3391,11,2,4
3392,11,1,4
3393,11,16,5
3394,11,15,5
3395,11,14,5
3396,11,13,5
3397,11,12,5
3398,11,11,5
3399,11,10,5
3400,11,9,5
3401,11,8,5
3402,11,7,5
3403,11,6,5
3404,11,5,5
3405,11,4,5
3406,11,3,5
3407,11,2,5
3408,11,1,5
3409,11,16,6
3410,11,15,6
3411,11,14,6
3412,11,13,6
3413,11,12,6
3414,11,11,6
3415,11,10,6
3416,11,9,6
3417,11,8,6
3418,11,7,6
3419,11,6,6
3420,11,5,6
3421,11,4,6
3422,11,3,6
3423,11,2,6
3424,11,1,6
3425,11,16,7
3426,11,15,7
3427,11,14,7
3428,11,13,7
3429,11,12,7
3430,11,11,7
3431,11,10,7
3432,11,9,7
3433,11,8,7
3434,11,7,7
3435,11,6,7
3436,11,5,7
3437,11,4,7
3438,11,3,7
3439,11,2,7
3440,11,1,7
3441,11,16,8
3442,11,15,8
3443,11,14,8
3444,11,13,8
3445,11,12,8
3446,11,11,8
3447,11,10,8
3448,11,9,8
3449,11,8,8
3450,11,7,8
3451,11,6,8
3452,11,5,8
3453,11,4,8
3454,11,3,8
3455,11,2,8
3456,11,1,8
3457,11,16,9
3458,11,15,9
3459,11,14,9
3460,11,13,9
3461,11,12,9
3462,11,11,9
3463,11,10,9
3464,11,9,9
3465,11,8,9
3466,11,7,9
3467,11,6,9
3468,11,5,9
3469,11,4,9
3470,11,3,9
3471,11,2,9
3472,11,1,9
3473,11,16,10
3474,11,15,10
3475,11,14,10
3476,11,13,10
3477,11,12,10
3478,11,11,10
3479,11,10,10
3480,11,9,10
3481,11,8,10
3482,11,7,10
3483,11,6,10
3484,11,5,10
3485,11,4,10
3486,11,3,10
3487,11,2,10
3488,11,1,10
3489,11,16,11
3490,11,15,11
3491,11,14,11
3492,11,13,11
3493,11,12,11
3494,11,11,11
3495,11,10,11
3496,11,9,11
3497,11,8,11
3498,11,7,11
3499,11,6,11
3500,11,5,11
3501,11,4,11
3502,11,3,11
3503,11,2,11
3504,11,1,11
3505,11,16,12
3506,11,15,12
3507,11,14,12
3508,11,13,12
3509,11,12,12
3510,11,11,12
3511,11,10,12
3512,11,9,12
3513,11,8,12
3514,11,7,12
3515,11,6,12
3516,11,5,12
3517,11,4,12
3518,11,3,12
3519,11,2,12
3520,11,1,12
3521,11,16,13
3522,11,15,13
3523,11,14,13
3524,11,13,13
3525,11,12,13
3526,11,11,13
3527,11,10,13
3528,11,9,13
3529,11,8,13
3530,11,7,13
3531,11,6,13
3532,11,5,13
3533,11,4,13
3534,11,3,13
3535,11,2,13
3536,11,1,13
3537,11,16,14
3538,11,15,14
3539,11,14,14
3540,11,13,14
3541,11,12,14
3542,11,11,14
3543,11,10,14
3544,11,9,14
3545,11,8,14
3546,11,7,14
3547,11,6,14
3548,11,5,14
3549,11,4,14
3550,11,3,14
3551,11,2,14
3552,11,1,14
3553,11,16,15
3554,11,15,15
3555,11,14,15
3556,11,13,15
3557,11,12,15
3558,11,11,15
3559,11,10,15
3560,11,9,15
3561,11,8,15
3562,11,7,15
3563,11,6,15
3564,11,5,15
3565,11,4,15
3566,11,3,15
3567,11,2,15
3568,11,1,15
3569,11,16,16
3570,11,15,16
3571,11,14,16
3572,11,13,16
3573,11,12,16
3574,11,11,16
3575,11,10,16
3576,11,9,16
3577,11,8,16
3578,11,7,16
3579,11,6,16
3580,11,5,16
3581,11,4,16
3582,11,3,16
3583,11,2,16
3584,11,1,16
3585,10,1,1
3586,10,2,1
3587,10,3,1
3588,10,4,1
3589,10,5,1
3590,10,6,1
3591,10,7,1
3592,10,8,1
3593,10,9,1
3594,10,10,1
3595,10,11,1
3596,10,12,1
3597,10,13,1
3598,10,14,1
3599,10,15,1
3600,10,16,1
3601,10,1,2
3602,10,2,2
3603,10,3,2
3604,10,4,2
3605,10,5,2
3606,10,6,2
3607,10,7,2
3608,10,8,2
3609,10,9,2
3610,10,10,2
3611,10,11,2
3612,10,12,2
3613,10,13,2
3614,10,14,2
3615,10,15,2
3616,10,16,2
3617,10,1,3
3618,10,2,3
3619,10,3,3
3620,10,4,3
3621,10,5,3
3622,10,6,3
3623,10,7,3
3624,10,8,3
3625,10,9,3
3626,10,10,3
3627,10,11,3
3628,10,12,3
3629,10,13,3
3630,10,14,3
3631,10,15,3
3632,10,16,3
3633,10,1,4
3634,10,2,4
3635,10,3,4
3636,10,4,4
3637,10,5,4
3638,10,6,4
3639,10,7,4
3640,10,8,4
3641,10,9,4
3642,10,10,4
3643,10,11,4
3644,10,12,4
3645,10,13,4
3646,10,14,4
3647,10,15,4
3648,10,16,4
3649,10,1,5
3650,10,2,5
3651,10,3,5
3652,10,4,5
3653,10,5,5
3654,10,6,5
3655,10,7,5
3656,10,8,5
3657,10,9,5
3658,10,10,5
3659,10,11,5
3660,10,12,5
3661,10,13,5
3662,10,14,5
3663,10,15,5
3664,10,16,5
3665,10,1,6
3666,10,2,6
3667,10,3,6
3668,10,4,6
3669,10,5,6
3670,10,6,6
3671,10,7,6
3672,10,8,6
3673,10,9,6
3674,10,10,6
3675,10,11,6
3676,10,12,6
3677,10,13,6
3678,10,14,6
3679,10,15,6
3680,10,16,6
3681,10,1,7
3682,10,2,7
3683,10,3,7
3684,10,4,7
3685,10,5,7
3686,10,6,7
3687,10,7,7
3688,10,8,7
3689,10,9,7
3690,10,10,7
3691,10,11,7
3692,10,12,7
3693,10,13,7
3694,10,14,7
3695,10,15,7
3696,10,16,7
3697,10,1,8
3698,10,2,8
3699,10,3,8
3700,10,4,8
3701,10,5,8
3702,10,6,8
3703,10,7,8
3704,10,8,8
3705,10,9,8
3706,10,10,8
3707,10,11,8
3708,10,12,8
3709,10,13,8
3710,10,14,8
3711,10,15,8
3712,10,16,8
3713,10,1,9
3714,10,2,9
3715,10,3,9
3716,10,4,9
3717,10,5,9
3718,10,6,9
3719,10,7,9
3720,10,8,9
3721,10,9,9
3722,10,10,9
3723,10,11,9
3724,10,12,9
3725,10,13,9
3726,10,14,9
3727,10,15,9
3728,10,16,9
3729,10,1,10
3730,10,2,10
3731,10,3,10
3732,10,4,10
3733,10,5,10
3734,10,6,10
3735,10,7,10
3736,10,8,10
3737,10,9,10
3738,10,10,10
3739,10,11,10
3740,10,12,10
3741,10,13,10
3742,10,14,10
3743,10,15,10
3744,10,16,10
3745,10,1,11
3746,10,2,11
3747,10,3,11
3748,10,4,11
3749,10,5,11
3750,10,6,11
3751,10,7,11
3752,10,8,11
3753,10,9,11
3754,10,10,11
3755,10,11,11
3756,10,12,11
3757,10,13,11
3758,10,14,11
3759,10,15,11
3760,10,16,11
3761,10,1,12
3762,10,2,12
3763,10,3,12
3764,10,4,12
3765,10,5,12
3766,10,6,12
3767,10,7,12
3768,10,8,12
3769,10,9,12
3770,10,10,12
3771,10,11,12
3772,10,12,12
3773,10,13,12
3774,10,14,12
3775,10,15,12
3776,10,16,12
3777,10,1,13
3778,10,2,13
3779,10,3,13
3780,10,4,13
3781,10,5,13
3782,10,6,13
3783,10,7,13
3784,10,8,13
3785,10,9,13
3786,10,10,13
3787,10,11,13
3788,10,12,13
3789,10,13,13
3790,10,14,13
3791,10,15,13
3792,10,16,13
3793,10,1,14
3794,10,2,14
3795,10,3,14
3796,10,4,14
3797,10,5,14
3798,10,6,14
3799,10,7,14
3800,10,8,14
3801,10,9,14
3802,10,10,14
3803,10,11,14
3804,10,12,14
3805,10,13,14
3806,10,14,14
3807,10,15,14
3808,10,16,14
3809,10,1,15
3810,10,2,15
3811,10,3,15
3812,10,4,15
3813,10,5,15
3814,10,6,15
3815,10,7,15
3816,10,8,15
3817,10,9,15
3818,10,10,15
3819,10,11,15
3820,10,12,15
3821,10,13,15
3822,10,14,15
3823,10,15,15
3824,10,16,15
3825,10,1,16
3826,10,2,16
3827,10,3,16
3828,10,4,16
3829,10,5,16
3830,10,6,16
3831,10,7,16
3832,10,8,16
3833,10,9,16
3834,10,10,16
3835,10,11,16
3836,10,12,16
3837,10,13,16
3838,10,14,16
3839,10,15,16
3840,10,16,16
3841,12,1,1
3842,12,2,1
3843,12,3,1
3844,12,4,1
3845,12,5,1
3846,12,6,1
3847,12,7,1
3848,12,8,1
3849,12,9,1
3850,12,10,1
3851,12,11,1
3852,12,12,1
3853,12,13,1
3854,12,14,1
3855,12,15,1
3856,12,16,1
3857,12,1,2
3858,12,2,2
3859,12,3,2
3860,12,4,2
3861,12,5,2
3862,12,6,2
3863,12,7,2
3864,12,8,2
3865,12,9,2
3866,12,10,2
3867,12,11,2
3868,12,12,2
3869,12,13,2
3870,12,14,2
3871,12,15,2
3872,12,16,2
3873,12,1,3
3874,12,2,3
3875,12,3,3
3876,12,4,3
3877,12,5,3
3878,12,6,3
3879,12,7,3
3880,12,8,3
3881,12,9,3
3882,12,10,3
3883,12,11,3
3884,12,12,3
3885,12,13,3
3886,12,14,3
3887,12,15,3
3888,12,16,3
3889,12,1,4
3890,12,2,4
3891,12,3,4
3892,12,4,4
3893,12,5,4
3894,12,6,4
3895,12,7,4
3896,12,8,4
3897,12,9,4
3898,12,10,4
3899,12,11,4
3900,12,12,4
3901,12,13,4
3902,12,14,4
3903,12,15,4
3904,12,16,4
3905,12,1,5
3906,12,2,5
3907,12,3,5
3908,12,4,5
3909,12,5,5
3910,12,6,5
3911,12,7,5
3912,12,8,5
3913,12,9,5
3914,12,10,5
3915,12,11,5
3916,12,12,5
3917,12,13,5
3918,12,14,5
3919,12,15,5
3920,12,16,5
3921,12,1,6
3922,12,2,6
3923,12,3,6
3924,12,4,6
3925,12,5,6
3926,12,6,6
3927,12,7,6
3928,12,8,6
3929,12,9,6
3930,12,10,6
3931,12,11,6
3932,12,12,6
3933,12,13,6
3934,12,14,6
3935,12,15,6
3936,12,16,6
3937,12,1,7
3938,12,2,7
3939,12,3,7
3940,12,4,7
3941,12,5,7
3942,12,6,7
3943,12,7,7
3944,12,8,7
3945,12,9,7
3946,12,10,7
3947,12,11,7
3948,12,12,7
3949,12,13,7
3950,12,14,7
3951,12,15,7
3952,12,16,7
3953,12,1,8
3954,12,2,8
3955,12,3,8
3956,12,4,8
3957,12,5,8
3958,12,6,8
3959,12,7,8
3960,12,8,8
3961,12,9,8
3962,12,10,8
3963,12,11,8
3964,12,12,8
3965,12,13,8
3966,12,14,8
3967,12,15,8
3968,12,16,8
3969,12,1,9
3970,12,2,9
3971,12,3,9
3972,12,4,9
3973,12,5,9
3974,12,6,9
3975,12,7,9
3976,12,8,9
3977,12,9,9
3978,12,10,9
3979,12,11,9
3980,12,12,9
3981,12,13,9
3982,12,14,9
3983,12,15,9
3984,12,16,9
3985,12,1,10
3986,12,2,10
3987,12,3,10
3988,12,4,10
3989,12,5,10
3990,12,6,10
3991,12,7,10
3992,12,8,10
3993,12,9,10
3994,12,10,10
3995,12,11,10
3996,12,12,10
3997,12,13,10
3998,12,14,10
3999,12,15,10
4000,12,16,10
4001,12,1,11
4002,12,2,11
4003,12,3,11
4004,12,4,11
4005,12,5,11
4006,12,6,11
4007,12,7,11
4008,12,8,11
4009,12,9,11
4010,12,10,11
4011,12,11,11
4012,12,12,11
4013,12,13,11
4014,12,14,11
4015,12,15,11
4016,12,16,11
4017,12,1,12
4018,12,2,12
4019,12,3,12
4020,12,4,12
4021,12,5,12
4022,12,6,12
4023,12,7,12
4024,12,8,12
4025,12,9,12
4026,12,10,12
4027,12,11,12
4028,12,12,12
4029,12,13,12
4030,12,14,12
4031,12,15,12
4032,12,16,12
4033,12,1,13
4034,12,2,13
4035,12,3,13
4036,12,4,13
4037,12,5,13
4038,12,6,13
4039,12,7,13
4040,12,8,13
4041,12,9,13
4042,12,10,13
4043,12,11,13
4044,12,12,13
4045,12,13,13
4046,12,14,13
4047,12,15,13
4048,12,16,13
4049,12,1,14
4050,12,2,14
4051,12,3,14
4052,12,4,14
4053,12,5,14
4054,12,6,14
4055,12,7,14
4056,12,8,14
4057,12,9,14
4058,12,10,14
4059,12,11,14
4060,12,12,14
4061,12,13,14
4062,12,14,14
4063,12,15,14
4064,12,16,14
4065,12,1,15
4066,12,2,15
4067,12,3,15
4068,12,4,15
4069,12,5,15
4070,12,6,15
4071,12,7,15
4072,12,8,15
4073,12,9,15
4074,12,10,15
4075,12,11,15
4076,12,12,15
4077,12,13,15
4078,12,14,15
4079,12,15,15
4080,12,16,15
4081,12,1,16
4082,12,2,16
4083,12,3,16
4084,12,4,16
4085,12,5,16
4086,12,6,16
4087,12,7,16
4088,12,8,16
4089,12,9,16
4090,12,10,16
4091,12,11,16
4092,12,12,16
4093,12,13,16
4094,12,14,16
4095,12,15,16
4096,12,16,16
